"model_name","variable_name","decomp_group","Date","value","value_tails"
"impulse_pna_can_330ml_1_10pack","actuals","actuals",2021-03-14,46519.35417,46519.35417
"impulse_pna_can_330ml_1_10pack","actuals","actuals",2021-07-18,67089.89902,67089.89902
"impulse_pna_can_330ml_1_10pack","actuals","actuals",2021-08-29,34840.88994,34840.88994
"impulse_pna_can_330ml_1_10pack","actuals","actuals",2021-05-09,49974.26083,49974.26083
"impulse_pna_can_330ml_1_10pack","actuals","actuals",2021-03-28,61368.30213,61368.30213
"impulse_pna_can_330ml_1_10pack","actuals","actuals",2021-04-25,56754.42875,56754.42875
"impulse_pna_can_330ml_1_10pack","actuals","actuals",2022-01-02,29151.88165,29151.88165
"impulse_pna_can_330ml_1_10pack","actuals","actuals",2021-11-21,35983.47245,35983.47245
"impulse_pna_can_330ml_1_10pack","actuals","actuals",2021-05-16,41090.3088,41090.3088
"impulse_pna_can_330ml_1_10pack","actuals","actuals",2021-04-04,61354.02194,61354.02194
"impulse_pna_can_330ml_1_10pack","actuals","actuals",2021-09-12,53298.47922,53298.47922
"impulse_pna_can_330ml_1_10pack","actuals","actuals",2021-03-21,44245.4428,44245.4428
"impulse_pna_can_330ml_1_10pack","actuals","actuals",2022-01-09,26479.59906,26479.59906
"impulse_pna_can_330ml_1_10pack","actuals","actuals",2021-11-28,34013.32251,34013.32251
"impulse_pna_can_330ml_1_10pack","actuals","actuals",2021-12-12,43437.72796,43437.72796
"impulse_pna_can_330ml_1_10pack","actuals","actuals",2021-05-23,39601.16893,39601.16893
"impulse_pna_can_330ml_1_10pack","actuals","actuals",2021-09-05,49791.12237,49791.12237
"impulse_pna_can_330ml_1_10pack","actuals","actuals",2021-07-25,53663.97464,53663.97464
"impulse_pna_can_330ml_1_10pack","actuals","actuals",2021-01-03,36817.36256,36817.36256
"impulse_pna_can_330ml_1_10pack","actuals","actuals",2022-01-16,26421.84781,26421.84781
"impulse_pna_can_330ml_1_10pack","actuals","actuals",2021-05-02,57433.46596,57433.46596
"impulse_pna_can_330ml_1_10pack","actuals","actuals",2021-12-19,59758.77607,59758.77607
"impulse_pna_can_330ml_1_10pack","actuals","actuals",2021-05-30,52877.06858,52877.06858
"impulse_pna_can_330ml_1_10pack","actuals","actuals",2021-04-18,67687.99022,67687.99022
"impulse_pna_can_330ml_1_10pack","actuals","actuals",2021-08-01,48196.67527,48196.67527
"impulse_pna_can_330ml_1_10pack","actuals","actuals",2021-01-10,33987.84848,33987.84848
"impulse_pna_can_330ml_1_10pack","actuals","actuals",2022-01-23,27915.11391,27915.11391
"impulse_pna_can_330ml_1_10pack","actuals","actuals",2022-02-06,34455.37147,34455.37147
"impulse_pna_can_330ml_1_10pack","actuals","actuals",2021-12-26,52728.9936,52728.9936
"impulse_pna_can_330ml_1_10pack","actuals","actuals",2021-04-11,64452.98242,64452.98242
"impulse_pna_can_330ml_1_10pack","actuals","actuals",2021-09-19,50217.00612,50217.00612
"impulse_pna_can_330ml_1_10pack","actuals","actuals",2021-08-08,44071.07889,44071.07889
"impulse_pna_can_330ml_1_10pack","actuals","actuals",2021-01-17,36254.55658,36254.55658
"impulse_pna_can_330ml_1_10pack","actuals","actuals",2021-12-05,35053.35354,35053.35354
"impulse_pna_can_330ml_1_10pack","actuals","actuals",2022-02-13,32035.07201,32035.07201
"impulse_pna_can_330ml_1_10pack","actuals","actuals",2023-11-12,3029.051007,3029.051007
"impulse_pna_can_330ml_1_10pack","actuals","actuals",2023-10-01,5386.052067,5386.052067
"impulse_pna_can_330ml_1_10pack","actuals","actuals",2021-09-26,39354.41829,39354.41829
"impulse_pna_can_330ml_1_10pack","actuals","actuals",2021-08-15,30722.61113,30722.61113
"impulse_pna_can_330ml_1_10pack","actuals","actuals",2021-01-24,35442.50689,35442.50689
"impulse_pna_can_330ml_1_10pack","actuals","actuals",2023-05-28,10608.96473,10608.96473
"impulse_pna_can_330ml_1_10pack","actuals","actuals",2023-04-16,11578.89592,11578.89592
"impulse_pna_can_330ml_1_10pack","actuals","actuals",2021-06-06,50789.79932,50789.79932
"impulse_pna_can_330ml_1_10pack","actuals","actuals",2023-03-05,14054.68102,14054.68102
"impulse_pna_can_330ml_1_10pack","actuals","actuals",2021-10-03,34792.28112,34792.28112
"impulse_pna_can_330ml_1_10pack","actuals","actuals",2021-08-22,34728.32371,34728.32371
"impulse_pna_can_330ml_1_10pack","actuals","actuals",2022-01-30,31225.24456,31225.24456
"impulse_pna_can_330ml_1_10pack","actuals","actuals",2022-10-30,22449.87607,22449.87607
"impulse_pna_can_330ml_1_10pack","actuals","actuals",2022-09-18,25666.89925,25666.89925
"impulse_pna_can_330ml_1_10pack","actuals","actuals",2022-08-07,45980.28214,45980.28214
"impulse_pna_can_330ml_1_10pack","actuals","actuals",2023-08-20,6396.904918,6396.904918
"impulse_pna_can_330ml_1_10pack","actuals","actuals",2021-10-10,31552.68157,31552.68157
"impulse_pna_can_330ml_1_10pack","actuals","actuals",2023-07-09,10891.71289,10891.71289
"impulse_pna_can_330ml_1_10pack","actuals","actuals",2022-04-03,25330.79989,25330.79989
"impulse_pna_can_330ml_1_10pack","actuals","actuals",2022-02-20,34767.7311,34767.7311
"impulse_pna_can_330ml_1_10pack","actuals","actuals",2023-11-19,4423.330083,4423.330083
"impulse_pna_can_330ml_1_10pack","actuals","actuals",2023-10-08,5735.897097,5735.897097
"impulse_pna_can_330ml_1_10pack","actuals","actuals",2023-01-22,18346.73623,18346.73623
"impulse_pna_can_330ml_1_10pack","actuals","actuals",2022-12-11,19011.79415,19011.79415
"impulse_pna_can_330ml_1_10pack","actuals","actuals",2021-01-31,39002.76456,39002.76456
"impulse_pna_can_330ml_1_10pack","actuals","actuals",2023-06-04,8677.43006,8677.43006
"impulse_pna_can_330ml_1_10pack","actuals","actuals",2023-04-23,10557.9431,10557.9431
"impulse_pna_can_330ml_1_10pack","actuals","actuals",2021-06-13,69250.15141,69250.15141
"impulse_pna_can_330ml_1_10pack","actuals","actuals",2023-03-12,13881.79303,13881.79303
"impulse_pna_can_330ml_1_10pack","actuals","actuals",2022-06-26,21661.24273,21661.24273
"impulse_pna_can_330ml_1_10pack","actuals","actuals",2022-05-15,23628.45907,23628.45907
"impulse_pna_can_330ml_1_10pack","actuals","actuals",2021-02-07,40740.32889,40740.32889
"impulse_pna_can_330ml_1_10pack","actuals","actuals",2022-11-06,22028.1908,22028.1908
"impulse_pna_can_330ml_1_10pack","actuals","actuals",2022-09-25,22769.61918,22769.61918
"impulse_pna_can_330ml_1_10pack","actuals","actuals",2022-08-14,29750.56661,29750.56661
"impulse_pna_can_330ml_1_10pack","actuals","actuals",2023-08-27,8242.064825,8242.064825
"impulse_pna_can_330ml_1_10pack","actuals","actuals",2021-10-17,32400.30959,32400.30959
"impulse_pna_can_330ml_1_10pack","actuals","actuals",2023-07-16,8924.477843,8924.477843
"impulse_pna_can_330ml_1_10pack","actuals","actuals",2022-04-10,30983.26604,30983.26604
"impulse_pna_can_330ml_1_10pack","actuals","actuals",2022-02-27,31812.8997,31812.8997
"impulse_pna_can_330ml_1_10pack","actuals","actuals",2023-11-26,4170.225034,4170.225034
"impulse_pna_can_330ml_1_10pack","actuals","actuals",2023-10-15,4274.475005,4274.475005
"impulse_pna_can_330ml_1_10pack","actuals","actuals",2023-01-29,17212.44903,17212.44903
"impulse_pna_can_330ml_1_10pack","actuals","actuals",2022-12-18,28526.33268,28526.33268
"impulse_pna_can_330ml_1_10pack","actuals","actuals",2023-07-23,8854.347239,8854.347239
"impulse_pna_can_330ml_1_10pack","actuals","actuals",2023-06-11,9410.391121,9410.391121
"impulse_pna_can_330ml_1_10pack","actuals","actuals",2023-04-30,17420.99326,17420.99326
"impulse_pna_can_330ml_1_10pack","actuals","actuals",2021-06-20,58706.76343,58706.76343
"impulse_pna_can_330ml_1_10pack","actuals","actuals",2023-03-19,13546.65502,13546.65502
"impulse_pna_can_330ml_1_10pack","actuals","actuals",2022-07-03,27913.49009,27913.49009
"impulse_pna_can_330ml_1_10pack","actuals","actuals",2022-05-22,24005.20431,24005.20431
"impulse_pna_can_330ml_1_10pack","actuals","actuals",2021-02-14,43442.1759,43442.1759
